,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
374,Rota,0,ES,1568141764,47,36.62,-6.36,75.2,13.87
375,Shakawe,53,BW,1568141766,13,-18.36,21.84,65.14,3.62
376,Kasongo-Lunda,65,CD,1568141767,61,-6.48,16.82,76.47,2.04
377,Sernur,60,RU,1568141768,81,56.93,49.15,53.44,1.52
378,Durango,5,MX,1568141769,52,24.02,-104.67,75.99,5.82
379,Clyde River,75,CA,1568141771,75,70.47,-68.59,41.0,10.29
380,Perelyub,30,RU,1568141772,71,51.87,50.37,59.37,8.19
381,Bhandara,75,IN,1568141773,94,21.16,79.65,78.8,2.24
382,Port Macquarie,40,AU,1568141775,76,-31.43,152.91,51.8,6.93
383,Galle,100,GN,1568141776,93,10.08,-12.83,74.85,5.91
384,Nantucket,1,US,1568141777,64,41.28,-70.1,73.99,9.17
385,Saint George,40,GR,1568141778,60,39.45,22.34,77.0,10.29
386,Sumbe,42,AO,1568141779,90,-11.2,13.84,71.62,7.58
387,Puerto Rondon,4,CO,1568141767,44,6.28,-71.1,95.37,1.7
388,Atlantis,40,ZA,1568141782,77,-33.57,18.5,62.01,9.17
389,Ambon,0,FR,1568141783,55,47.55,-2.56,66.2,5.82
390,Lavrentiya,50,RU,1568141784,98,65.58,-170.99,42.27,2.73
391,Itarema,11,BR,1568141785,47,-2.92,-39.92,88.0,16.82
392,Altay,100,CN,1568141786,79,47.83,88.13,38.32,3.11
393,Qasigiannguit,75,GL,1568141788,64,68.82,-51.19,37.4,10.29
394,Laguna,75,BZ,1568141789,70,16.17,-88.94,87.8,13.87
395,Dezhou,51,CN,1568141790,81,37.45,116.31,65.5,6.46
396,Avera,40,US,1568141792,49,33.19,-82.53,95.0,3.36
397,Salalah,75,OM,1568141793,88,17.01,54.1,80.6,4.7
398,La Massana,100,FR,1568141794,56,42.54,1.52,59.0,10.47
399,Yalta,0,UA,1568141795,34,46.96,37.27,69.64,13.33
400,Ust-Kuyga,0,RU,1568141797,83,70.0,135.55,25.72,3.67
401,Gizo,0,IL,1568141798,69,31.8,34.94,80.6,4.7
402,Turkan,0,AF,1568141799,72,35.6,68.92,42.27,0.83
403,Guerrero Negro,40,MX,1568141800,77,27.97,-114.04,66.57,9.01
404,Fort Nelson,20,CA,1568141564,62,58.81,-122.69,57.2,10.29
405,Beringovskiy,98,RU,1568141803,99,63.05,179.32,44.25,5.44
406,Hamilton,75,CA,1568141530,61,43.26,-79.87,80.01,12.75
407,Ialibu,100,PG,1568141805,99,-6.28,143.99,61.0,3.42
408,Petropavlovka,61,RU,1568141807,90,50.61,105.32,45.34,3.31
409,Norman Wells,20,CA,1568141808,51,65.28,-126.83,60.8,9.17
410,Corrente,40,BR,1568141809,14,-17.45,-44.68,99.34,1.99
411,Matay,0,EG,1568141810,32,28.42,30.79,81.7,8.63
412,Smithers,90,CA,1568141811,66,54.78,-127.17,55.4,2.24
413,Chapais,90,CA,1568141813,76,49.78,-74.86,51.8,5.82
414,Maragogi,34,BR,1568141578,69,-9.01,-35.22,79.54,9.35
415,Port Lincoln,0,AU,1568141815,62,-34.72,135.86,57.4,17.74
416,San Juan de los Morros,0,VE,1568141817,59,9.91,-67.35,84.75,4.65
417,Vestmanna,100,FO,1568141818,100,62.16,-7.17,50.0,24.16
418,Bogande,71,BF,1568141819,59,12.97,-0.14,85.65,8.57
419,Tual,84,ID,1568141820,76,-5.67,132.75,76.3,20.31
420,Rio Verde de Mato Grosso,8,BR,1568141821,12,-18.92,-54.84,102.75,9.46
421,Dalvik,0,SE,1568141823,93,57.79,14.13,57.2,4.76
422,Ferme-Neuve,100,CA,1568141824,95,46.7,-75.45,49.47,4.12
423,Mandera,55,ET,1568141825,48,3.94,41.86,85.12,14.43
424,Okhotsk,0,RU,1568141827,57,59.36,143.24,46.95,14.2
425,Manaure,75,CO,1568141828,42,11.78,-72.45,98.6,16.11
426,Buritizeiro,40,BR,1568141829,14,-17.37,-44.96,99.34,1.99
427,Barra do Garcas,50,BR,1568141830,14,-15.89,-52.26,102.22,7.76
428,Pechenga,32,RU,1568141831,95,58.89,41.46,58.47,3.6
429,Sao Filipe,63,CV,1568141833,82,14.9,-24.5,77.74,15.46
430,Quatre Cocos,75,MU,1568141834,73,-20.21,57.76,69.8,9.17
431,Burgeo,7,CA,1568141835,83,47.61,-57.61,55.42,10.45
432,Hillsborough,90,US,1568141837,82,37.57,-122.38,70.0,13.87
433,Egvekinot,100,RU,1568141838,91,66.32,-179.17,40.3,2.71
434,Sitka,12,US,1568141839,58,37.17,-99.65,89.01,21.0
435,Asyut,0,EG,1568141841,29,27.18,31.19,82.24,10.16
436,Atasu,22,KZ,1568141842,80,48.68,71.64,51.27,5.12
437,Uppsala,82,SE,1568141843,82,59.86,17.64,62.6,6.93
438,Santa Maria,0,BR,1568141844,21,-16.02,-48.01,91.4,8.05
439,Lorengau,86,PG,1568141846,79,-2.02,147.27,79.72,12.44
440,Camacha,20,PT,1568141847,64,33.08,-16.33,71.6,12.75
441,Salinopolis,0,BR,1568141849,77,-0.61,-47.36,81.15,22.59
442,Liuhe,74,CN,1568141850,92,42.28,125.73,48.75,3.78
443,Petropavlovsk-Kamchatskiy,7,RU,1568141851,100,53.05,158.65,41.0,2.24
444,Port Hedland,19,AU,1568141852,68,-20.31,118.58,66.2,8.05
445,Kupang,67,ID,1568141854,79,-10.16,123.6,75.22,17.13
446,Mingaora,0,PK,1568141703,63,34.78,72.36,67.12,6.35
447,High Level,20,CA,1568141856,62,58.52,-117.13,53.6,5.82
448,Tempe,75,US,1568141857,44,33.41,-111.91,96.01,12.75
449,Urla,0,TR,1568141858,50,38.32,26.77,82.4,11.41
450,Muravlenko,74,RU,1568141860,80,63.79,74.5,37.77,19.55
451,Aklavik,40,CA,1568141861,66,68.22,-135.01,55.4,5.82
452,Banff,100,CA,1568141862,94,51.18,-115.57,44.01,3.0
453,Madison,75,US,1568141694,65,43.07,-89.38,82.4,10.29
454,Abbeville,0,FR,1568141864,67,50.11,1.83,62.6,4.7
455,Kourou,21,GF,1568141866,66,5.16,-52.64,84.2,9.17
456,Matagami,62,NG,1568141867,91,9.67,8.4,71.25,2.53
457,San Rafael,82,AR,1568141868,43,-34.61,-68.33,52.72,6.15
458,Kununurra,47,AU,1568141869,16,-15.77,128.74,68.0,9.17
459,Belmonte,0,PT,1568141870,34,40.36,-7.35,72.0,10.29
460,Ayacucho,75,PE,1568141872,28,-13.16,-74.23,71.6,8.05
461,Pochutla,90,MX,1568141873,70,15.74,-96.47,90.0,4.72
462,Mbekenyera,93,TZ,1568141874,68,-10.0,38.98,75.4,8.97
463,Ures,0,MX,1568141876,55,30.73,-112.95,93.99,5.01
464,Weatherford,40,US,1568141707,38,32.76,-97.8,93.99,14.99
465,Antalaha,83,MG,1568141878,98,-14.9,50.28,60.82,2.71
466,Chute-aux-Outardes,75,CA,1568141879,71,49.12,-68.38,60.8,16.11
467,Masuri,1,KR,1568141880,94,35.85,128.15,77.0,5.82
468,Atambua,51,ID,1568141882,73,-9.11,124.89,75.4,12.01
469,Siemiatycze,39,PL,1568141596,63,52.43,22.86,55.99,6.6
470,Dakoro,78,NE,1568141884,30,14.51,6.76,97.0,7.9
471,Sabang,93,PH,1568141885,96,13.8,121.11,73.6,4.61
472,Cabra,20,ES,1568141887,26,37.47,-4.43,73.99,8.05
473,Cuitlahuac,40,MX,1568141888,66,18.82,-96.72,89.6,6.93
474,Mutis,84,CO,1568141890,83,6.23,-77.4,80.8,10.13
475,Santa Cruz,10,BR,1568141779,38,-6.22,-36.02,88.72,14.47
476,Dobre Miasto,0,PL,1568141892,76,53.99,20.4,57.2,5.82
477,Panama City,20,US,1568141893,52,30.16,-85.65,95.0,3.36
478,Biltine,9,TD,1568141894,36,14.53,20.93,91.24,7.96
479,Gorontalo,99,ID,1568141609,78,0.54,123.06,67.47,1.66
480,Katsuura,75,JP,1568141897,88,33.93,134.5,80.6,3.36
481,Jardim,63,BR,1568141898,12,-21.48,-56.15,102.94,13.29
482,Moranbah,0,AU,1568141899,39,-22.0,148.04,50.02,11.34
483,Ust-Tsilma,100,RU,1568141900,92,65.44,52.15,49.65,1.77
484,Bahia Honda,2,CU,1568141902,68,22.9,-83.16,85.65,22.08
485,Sayat,0,TM,1568141903,39,38.78,63.88,64.4,11.41
486,Puertollano,0,ES,1568141904,30,38.69,-4.11,69.01,14.99
487,Verkh-Usugli,100,RU,1568141905,80,52.7,115.17,43.35,2.75
488,Amqui,90,CA,1568141907,55,48.47,-67.43,60.8,6.93
489,Boyuibe,75,BO,1568141908,47,-20.43,-63.28,80.6,5.82
490,Carbonia,20,IT,1568141909,73,39.17,8.53,77.0,8.05
491,Ca Mau,87,VN,1568141910,88,9.18,105.15,78.1,1.79
492,Abha,40,SA,1568141911,82,18.22,42.5,71.6,9.17
493,Tocopilla,22,CL,1568141913,82,-22.09,-70.2,59.37,12.55
494,Aykhal,90,RU,1568141914,70,65.95,111.51,48.2,4.47
495,Santa Isabel do Rio Negro,68,BR,1568141915,51,-0.41,-65.02,90.52,4.52
496,Havelock,75,US,1568141917,66,34.88,-76.9,88.0,11.41
497,Lae,95,PG,1568141918,91,-6.72,146.98,68.92,1.23
498,Shahrud,55,IR,1568141919,85,36.42,54.97,47.85,3.6
499,Nuuk,75,GL,1568141920,86,64.17,-51.74,41.0,4.7
500,Luangwa,45,MZ,1568141922,21,-15.62,30.4,68.37,2.95
501,Staryy Nadym,84,RU,1568141923,71,65.61,72.68,39.4,19.33
502,Kangaatsiaq,97,GL,1568141924,80,68.31,-53.46,41.02,13.11
503,Kaeo,88,NZ,1568141925,95,-35.1,173.78,52.0,1.99
504,La Palma,0,CO,1568141926,38,5.36,-74.39,91.6,4.12
505,Haines Junction,0,CA,1568141928,62,60.75,-137.51,44.97,5.75
506,Duma,100,CN,1568141929,91,34.88,111.1,67.65,7.52
507,Honiara,90,SB,1568141930,100,-9.43,159.96,75.2,2.24
508,Leh,0,IN,1568141932,16,34.16,77.58,45.15,6.85
509,Northam,90,AU,1568141933,100,-31.65,116.67,57.2,6.93
510,Buenos Aires,40,AR,1568141894,72,-34.61,-58.44,64.99,4.7
511,Hanzhong,99,CN,1568141935,99,33.08,107.03,65.67,2.73
512,Zelenets,5,RU,1568141937,86,53.83,48.02,55.95,5.84
513,Bull Savanna,22,JM,1568141938,68,17.89,-77.59,84.22,8.08
514,Marsaxlokk,20,MT,1568141940,94,35.84,14.54,71.6,8.05
515,Hami,0,CN,1568141941,38,42.84,93.51,64.6,28.99
516,Cairns,90,AU,1568141942,63,-16.92,145.77,66.2,5.82
517,Ormara,100,PK,1568141944,80,25.21,64.64,81.7,7.61
518,Izumo,75,JP,1568141945,100,35.37,132.75,78.8,3.36
519,Kilindoni,17,TZ,1568141946,79,-7.91,39.67,77.92,11.39
520,Monte Plata,40,DO,1568141947,56,18.81,-69.79,93.2,11.41
521,Prainha,52,BR,1568141949,32,-1.8,-53.48,99.87,5.97
522,Kieta,100,PG,1568141950,83,-6.22,155.63,77.55,11.39
523,Nizhniye Achaluki,75,RU,1568141951,100,43.4,44.76,59.0,2.24
524,Kloulklubed,90,PW,1568141952,94,7.04,134.26,78.8,17.22
525,Broome,20,GB,1568141954,77,52.47,1.45,62.6,3.36
526,Oranjemund,34,ZA,1568141955,91,-28.55,16.43,56.32,11.77
527,Sisimiut,65,GL,1568141956,84,66.94,-53.67,40.3,5.21
528,Ballina,75,IE,1568141683,100,54.11,-9.15,62.01,16.11
529,Tobermory,100,CA,1568141959,87,45.25,-81.67,66.0,5.01
530,Lata,19,IN,1568141960,90,30.78,78.62,40.65,0.54
531,College,40,US,1568141961,100,64.86,-147.8,54.0,5.82
532,Mayumba,24,GA,1568141962,89,-3.44,10.65,74.32,9.64
533,Nizhnevartovsk,90,RU,1568141963,100,60.93,76.58,44.6,4.47
534,Alta Floresta,20,BR,1568141965,27,-9.87,-56.08,100.4,4.7
535,Azacualpa,75,HN,1568141966,70,15.34,-88.55,93.2,13.87
536,Waitara,37,NZ,1568141967,84,-39.0,174.24,42.01,7.0
537,Liverpool,0,GB,1568141670,67,53.41,-2.98,59.0,10.29
538,Springbok,1,ZA,1568141974,96,-29.67,17.88,53.97,4.43
539,Paamiut,26,GL,1568141975,79,61.99,-49.67,41.02,12.48
540,San Quintin,87,PH,1568141976,93,17.54,120.52,71.62,3.44
541,Nauta,14,PE,1568141977,32,-4.51,-73.58,100.77,2.24
542,Mandurah,0,AU,1568141979,87,-32.55,115.7,63.0,5.82
543,Brazzaville,75,CD,1568141980,51,-4.27,15.27,86.0,5.82
544,Dryden,90,CA,1568141981,100,49.79,-92.84,50.0,9.17
545,Auki,68,NG,1568141982,80,12.18,6.51,77.37,4.74
546,Mercedes,94,UY,1568141983,80,-33.25,-58.03,60.01,8.01
547,Beverley,29,AU,1568141985,98,-32.11,116.93,53.62,6.24
548,Rosetown,100,CA,1568141986,94,51.55,-107.99,51.01,8.01
549,Nyurba,47,RU,1568141987,94,63.29,118.35,45.34,3.67
550,Abu Samrah,0,SY,1568141988,63,35.3,37.18,72.7,9.35
551,Ahuimanu,40,US,1568141989,65,21.44,-157.84,84.2,11.41
552,Katherine,100,AU,1568141991,38,-14.47,132.26,59.0,6.93
